Proteins,Gene Symbol,Molecular Weight,Protein Grouping Ambiguity,Total Spectrum Count_hFT1-1,Total Spectrum Count_hFT1-2,Total Spectrum Count_hFT1-3,Exclusive Spectrum Count_hFT1-1,Exclusive Spectrum Count_hFT1-2,Exclusive Spectrum Count_hFT1-3,Total Unique Spectrum Count_hFT1-1,Total Unique Spectrum Count_hFT1-2,Total Unique Spectrum Count_hFT1-3,Exclusive Unique Spectrum Count_hFT1-1,Exclusive Unique Spectrum Count_hFT1-2,Exclusive Unique Spectrum Count_hFT1-3,Total Unique Peptide Count_hFT1-1,Total Unique Peptide Count_hFT1-2,Total Unique Peptide Count_hFT1-3,Exclusive Unique Peptide Count_hFT1-1,Exclusive Unique Peptide Count_hFT1-2,Exclusive Unique Peptide Count_hFT1-3,Protein Identification Probability_hFT1-1,Protein Identification Probability_hFT1-2,Protein Identification Probability_hFT1-3,Percent Coverage_hFT1-1,Percent Coverage_hFT1-2,Percent Coverage_hFT1-3,Percentage of Total Spectra_hFT1-1,Percentage of Total Spectra_hFT1-2,Percentage of Total Spectra_hFT1-3
PDZ and LIM domain protein 5 OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=5,PDLIM5,64 kDa,,11,9,8,11,9,8,8,8,7,8,8,7,6,8,5,6,8,5,100%,100%,100%,16.90%,21.60%,13.40%,0.02%,0.01%,0.01%
PDZ and LIM domain protein 4 OS=Homo sapiens OX=9606 GN=PDLIM4 PE=1 SV=2,PDLIM4,35 kDa,,8,3,4,8,3,4,5,2,4,5,2,4,4,2,4,4,2,4,100%,100%,100%,14.80%,5.76%,14.80%,0.01%,0.00%,0.01%
PDZ and LIM domain protein 3 OS=Homo sapiens OX=9606 GN=PDLIM3 PE=1 SV=1,PDLIM3,39 kDa,,11,5,5,11,5,5,4,1,1,4,1,1,4,1,1,4,1,1,100%,100%,100%,19.80%,4.12%,4.12%,0.02%,0.01%,0.01%
PDZ and LIM domain protein 2 OS=Homo sapiens OX=9606 GN=PDLIM2 PE=1 SV=1,PDLIM2,37 kDa,,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,100%,100%,99%,3.12%,7.67%,3.12%,0.00%,0.00%,0.00%
PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4,PDLIM1,36 kDa,,2,2,1,2,2,1,1,2,1,1,2,1,1,2,1,1,2,1,99%,100%,100%,3.04%,7.60%,3.04%,0.00%,0.00%,0.00%
Omega-amidase NIT2 OS=Homo sapiens OX=9606 GN=NIT2 PE=1 SV=1,NIT2,31 kDa,,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,100%,6%,90%,11.60%,0.00%,5.43%,0.00%,0.00%,0.00%
Olfactomedin-like protein 3 OS=Homo sapiens OX=9606 GN=OLFML3 PE=2 SV=1,OLFML3,46 kDa,,28,22,22,28,22,22,14,13,10,14,13,10,8,7,8,8,7,8,100%,100%,100%,26.60%,23.20%,26.80%,0.04%,0.03%,0.04%
Olfactomedin-like protein 1 OS=Homo sapiens OX=9606 GN=OLFML1 PE=1 SV=2,OLFML1,46 kDa,,13,16,15,13,16,15,10,8,8,10,8,8,7,7,6,7,7,6,100%,100%,100%,19.20%,19.90%,17.20%,0.02%,0.03%,0.02%
Nucleoside diphosphate kinase B OS=Homo sapiens OX=9606 GN=NME2 PE=1 SV=1,NME2,17 kDa,TRUE,4,3,1,0,0,0,2,2,1,0,0,0,2,2,1,0,0,0,100%,98%,76%,17.10%,17.10%,11.20%,0.01%,0.00%,0.00%
Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3,NCL,77 kDa,,23,20,22,23,20,22,12,10,8,12,10,8,10,8,7,10,8,7,100%,100%,100%,14.90%,11.30%,11.30%,0.03%,0.03%,0.04%
Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2,NUMA1,238 kDa,,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,100%,100%,100%,4.78%,2.13%,2.08%,0.01%,0.01%,0.00%
Non-histone chromosomal protein HMG-17 OS=Homo sapiens OX=9606 GN=HMGN2 PE=1 SV=3,HMGN2,9 kDa,,6,13,8,6,13,8,6,8,5,6,8,5,4,5,4,4,5,4,100%,100%,100%,51.10%,53.30%,53.30%,0.01%,0.02%,0.01%
Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4,NONO,54 kDa,,3,1,3,3,1,3,3,1,2,3,1,2,3,1,2,3,1,2,100%,100%,100%,9.98%,2.97%,7.64%,0.00%,0.00%,0.00%
Nidogen-2 OS=Homo sapiens OX=9606 GN=NID2 PE=1 SV=3,NID2,151 kDa,,49,31,24,46,31,24,31,21,17,30,21,17,22,17,13,21,17,13,100%,100%,100%,24.90%,19.30%,15.10%,0.07%,0.05%,0.04%
Nidogen-1 OS=Homo sapiens OX=9606 GN=NID1 PE=1 SV=3,NID1,136 kDa,,33,27,27,33,27,27,21,16,17,21,16,17,16,9,11,16,9,11,100%,100%,100%,20.10%,10.00%,13.30%,0.05%,0.04%,0.04%
Nexilin OS=Homo sapiens OX=9606 GN=NEXN PE=1 SV=1,NEXN,81 kDa,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,100%,100%,100%,3.70%,2.37%,3.41%,0.00%,0.00%,0.00%
Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3,GANAB,107 kDa,,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,73%,100%,93%,0.00%,3.39%,1.59%,0.00%,0.00%,0.00%
Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,AHNAK,629 kDa,,258,195,207,256,192,204,164,122,123,164,122,123,127,106,99,127,106,99,100%,100%,100%,30.50%,25.30%,22.90%,0.38%,0.30%,0.32%
"Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1",NACA,205 kDa,,4,2,2,2,1,1,2,2,2,1,1,1,2,2,2,1,1,1,100%,100%,100%,1.40%,1.40%,1.40%,0.01%,0.00%,0.00%
NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=2,NSFL1C,41 kDa,,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,2,1,1,100%,100%,99%,8.38%,4.05%,4.05%,0.00%,0.00%,0.00%
NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3,SNU13,14 kDa,,5,2,4,5,2,4,4,2,4,4,2,4,3,2,3,3,2,3,100%,100%,100%,25.00%,18.80%,25.00%,0.01%,0.00%,0.01%
NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens OX=9606 GN=UBE2M PE=1 SV=1,UBE2M,21 kDa,,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,100%,99%,99%,25.70%,6.01%,6.01%,0.01%,0.00%,0.00%
NADH-cytochrome b5 reductase 3 OS=Homo sapiens OX=9606 GN=CYB5R3 PE=1 SV=3,CYB5R3,34 kDa,,4,1,3,4,1,3,3,1,2,3,1,2,2,1,1,2,1,1,100%,99%,99%,5.65%,5.65%,5.65%,0.01%,0.00%,0.00%
"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Homo sapiens OX=9606 GN=DDAH2 PE=1 SV=1",DDAH2,30 kDa,,1,3,3,1,3,3,1,2,2,1,2,2,1,2,2,1,2,2,97%,100%,100%,5.61%,13.70%,13.70%,0.00%,0.00%,0.00%
Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2,MYH14,228 kDa,TRUE,100,97,94,1,0,1,29,19,22,1,0,1,14,10,12,1,0,1,99%,99%,100%,6.92%,5.16%,6.17%,0.15%,0.15%,0.15%
Myosin regulatory light polypeptide 9 OS=Homo sapiens OX=9606 GN=MYL9 PE=1 SV=4,MYL9,20 kDa,TRUE,11,12,11,5,5,4,8,6,7,3,2,2,4,4,4,2,2,2,100%,100%,100%,23.80%,23.80%,23.80%,0.02%,0.02%,0.02%
Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2,MYL6,17 kDa,TRUE,33,37,39,22,21,23,13,15,13,8,7,7,8,8,8,4,4,4,100%,100%,100%,47.70%,47.70%,47.70%,0.05%,0.06%,0.06%
"Myosin light chain kinase, smooth muscle OS=Homo sapiens OX=9606 GN=MYLK PE=1 SV=4",MYLK,211 kDa,,39,32,36,37,32,36,24,18,17,23,18,17,19,15,15,18,15,15,100%,100%,100%,12.80%,10.40%,9.25%,0.06%,0.05%,0.06%
Myosin light chain 3 OS=Homo sapiens OX=9606 GN=MYL3 PE=1 SV=3,MYL3,22 kDa,TRUE,2,5,4,0,0,0,2,5,3,0,0,0,2,2,2,0,0,0,17%,40%,12%,8.21%,8.21%,8.21%,0.00%,0.01%,0.01%
Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1,MYOF,235 kDa,,8,9,7,8,9,7,7,8,6,7,8,6,7,8,5,7,8,5,100%,100%,100%,4.22%,5.39%,3.35%,0.01%,0.01%,0.01%
Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1,RDX,69 kDa,TRUE,6,3,5,3,1,3,4,3,4,2,1,2,4,3,4,2,1,2,100%,100%,100%,10.30%,5.66%,10.10%,0.01%,0.00%,0.01%
Mimecan OS=Homo sapiens OX=9606 GN=OGN PE=1 SV=1,OGN,34 kDa,,11,12,11,11,12,11,2,2,3,2,2,3,2,2,2,2,2,2,100%,100%,100%,5.70%,5.70%,5.70%,0.02%,0.02%,0.02%
Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens OX=9606 GN=MAPRE1 PE=1 SV=3,MAPRE1,30 kDa,,3,2,2,3,2,2,3,2,2,3,2,2,2,2,1,2,2,1,100%,100%,99%,13.80%,14.60%,7.46%,0.00%,0.00%,0.00%
Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3,MAP4,121 kDa,,18,13,11,18,13,11,11,9,6,11,9,6,10,7,6,10,7,6,100%,100%,100%,11.90%,8.33%,6.86%,0.03%,0.02%,0.02%
Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2,MAP1B,271 kDa,TRUE,6,3,3,5,2,2,6,2,3,5,1,2,5,2,3,4,1,2,100%,100%,100%,3.48%,0.89%,1.66%,0.01%,0.00%,0.00%
Microtubule-associated protein 1A OS=Homo sapiens OX=9606 GN=MAP1A PE=1 SV=6,MAP1A,305 kDa,TRUE,2,1,1,1,0,0,2,1,1,1,0,0,2,1,1,1,0,0,92%,14%,15%,0.86%,0.36%,0.36%,0.00%,0.00%,0.00%
Methyl-CpG-binding protein 2 OS=Homo sapiens OX=9606 GN=MECP2 PE=1 SV=1,MECP2,52 kDa,,3,5,3,3,5,3,1,4,1,1,4,1,1,3,1,1,3,1,100%,100%,99%,3.70%,8.64%,3.70%,0.00%,0.01%,0.00%
Methanethiol oxidase OS=Homo sapiens OX=9606 GN=SELENBP1 PE=1 SV=2,SELENBP1,52 kDa,,6,6,5,6,6,5,3,3,4,3,3,4,3,3,3,3,3,3,100%,100%,100%,8.69%,8.69%,8.69%,0.01%,0.01%,0.01%
Membrane primary amine oxidase OS=Homo sapiens OX=9606 GN=AOC3 PE=1 SV=3,AOC3,85 kDa,,12,9,9,12,9,9,8,3,4,8,3,4,4,2,3,4,2,3,100%,100%,100%,6.29%,3.80%,4.85%,0.02%,0.01%,0.01%
Matrilin-2 OS=Homo sapiens OX=9606 GN=MATN2 PE=1 SV=4,MATN2,107 kDa,,14,5,5,14,5,5,9,4,4,9,4,4,9,4,3,9,4,3,100%,100%,100%,12.00%,5.75%,5.54%,0.02%,0.01%,0.01%
Mannosyl-oligosaccharide glucosidase OS=Homo sapiens OX=9606 GN=MOGS PE=1 SV=5,MOGS,92 kDa,,2,3,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,1,100%,100%,94%,2.63%,2.63%,1.31%,0.00%,0.00%,0.00%
"Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3",MDH2,36 kDa,,20,12,12,20,12,12,8,7,6,8,7,6,8,6,6,8,6,6,100%,100%,100%,31.40%,23.10%,25.10%,0.03%,0.02%,0.02%
"Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4",MDH1,36 kDa,,4,5,6,4,5,6,3,3,2,3,3,2,2,2,2,2,2,2,100%,100%,100%,8.68%,8.68%,8.68%,0.01%,0.01%,0.01%
Major vault protein OS=Homo sapiens OX=9606 GN=MVP PE=1 SV=4,MVP,99 kDa,,16,15,18,16,15,18,11,9,11,11,9,11,8,7,6,8,7,6,100%,100%,100%,13.50%,14.10%,13.00%,0.02%,0.02%,0.03%
Macrophage migration inhibitory factor OS=Homo sapiens OX=9606 GN=MIF PE=1 SV=4,MIF,12 kDa,,4,4,3,4,4,3,2,2,1,2,2,1,2,2,1,2,2,1,100%,100%,99%,17.40%,17.40%,7.83%,0.01%,0.01%,0.00%
MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1,IMMT,84 kDa,,4,2,4,4,2,4,2,2,3,2,2,3,2,2,3,2,2,3,100%,100%,100%,5.54%,5.54%,6.99%,0.01%,0.00%,0.01%
Lysyl oxidase homolog 1 OS=Homo sapiens OX=9606 GN=LOXL1 PE=1 SV=2,LOXL1,63 kDa,,4,3,4,4,3,4,4,2,2,4,2,2,3,2,2,3,2,2,100%,100%,100%,5.75%,3.48%,3.48%,0.01%,0.00%,0.01%
Lumican OS=Homo sapiens OX=9606 GN=LUM PE=1 SV=2,LUM,38 kDa,TRUE,37,42,38,37,42,38,13,10,11,13,10,11,7,6,6,7,6,6,100%,100%,100%,25.70%,22.80%,22.80%,0.05%,0.07%,0.06%
Lipoma-preferred partner OS=Homo sapiens OX=9606 GN=LPP PE=1 SV=1,LPP,66 kDa,,22,23,16,22,23,16,18,12,10,18,12,10,14,11,9,14,11,9,100%,100%,100%,39.90%,19.00%,13.90%,0.03%,0.04%,0.03%
Leukotriene A-4 hydrolase OS=Homo sapiens OX=9606 GN=LTA4H PE=1 SV=2,LTA4H,69 kDa,,4,0,1,4,0,1,3,0,1,3,0,1,3,0,1,3,0,1,100%,10%,85%,7.20%,0.00%,1.96%,0.01%,0.00%,0.00%
Leukocyte surface antigen CD47 OS=Homo sapiens OX=9606 GN=CD47 PE=1 SV=1,CD47,35 kDa,,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,100%,97%,94%,5.88%,2.48%,3.41%,0.00%,0.00%,0.00%
Leucine-rich repeat-containing protein 47 OS=Homo sapiens OX=9606 GN=LRRC47 PE=1 SV=1,LRRC47,63 kDa,,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,100%,100%,100%,2.40%,3.95%,4.46%,0.00%,0.00%,0.00%
"Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=LARS PE=1 SV=2",LARS,134 kDa,,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,97%,100%,100%,1.96%,0.77%,2.21%,0.00%,0.00%,0.00%
Leiomodin-1 OS=Homo sapiens OX=9606 GN=LMOD1 PE=1 SV=3,LMOD1,67 kDa,,11,15,11,11,15,11,8,9,5,8,9,5,6,6,4,6,6,4,100%,100%,100%,14.80%,14.80%,13.50%,0.02%,0.02%,0.02%
Latent-transforming growth factor beta-binding protein 4 OS=Homo sapiens OX=9606 GN=LTBP4 PE=1 SV=2,LTBP4,173 kDa,,20,19,20,20,19,20,18,13,16,18,13,16,14,10,12,14,10,12,100%,100%,100%,12.90%,8.68%,10.60%,0.03%,0.03%,0.03%
Latent-transforming growth factor beta-binding protein 2 OS=Homo sapiens OX=9606 GN=LTBP2 PE=1 SV=3,LTBP2,195 kDa,,49,33,37,49,33,37,25,21,25,25,21,25,18,14,19,18,14,19,100%,100%,100%,14.80%,11.40%,17.80%,0.07%,0.05%,0.06%
Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4,LTBP1,187 kDa,,17,11,11,17,11,11,15,7,8,15,7,8,13,7,7,13,7,7,100%,100%,100%,12.10%,6.22%,6.04%,0.03%,0.02%,0.02%
Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3,LAMC1,178 kDa,,94,95,75,94,95,75,51,46,38,51,46,38,37,29,27,37,29,27,100%,100%,100%,31.00%,26.10%,24.40%,0.14%,0.15%,0.12%
Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2,LAMB2,196 kDa,,27,14,13,27,14,13,20,11,10,20,11,10,17,11,10,17,11,10,100%,100%,100%,14.20%,9.73%,8.62%,0.04%,0.02%,0.02%
Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2,LAMB1,198 kDa,,45,33,35,45,33,35,28,18,17,28,18,17,20,15,15,20,15,15,100%,100%,100%,17.70%,13.20%,13.20%,0.07%,0.05%,0.06%
Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8,LAMA5,400 kDa,,13,7,10,13,7,10,12,5,8,12,5,8,9,5,6,9,5,6,100%,100%,100%,3.46%,2.03%,2.46%,0.02%,0.01%,0.02%
Laminin subunit alpha-4 OS=Homo sapiens OX=9606 GN=LAMA4 PE=1 SV=4,LAMA4,203 kDa,,21,12,12,21,12,12,14,6,5,14,6,5,11,6,5,11,6,5,100%,100%,100%,8.45%,4.22%,3.46%,0.03%,0.02%,0.02%
Laminin subunit alpha-2 OS=Homo sapiens OX=9606 GN=LAMA2 PE=1 SV=4,LAMA2,344 kDa,,10,7,7,10,7,7,10,6,6,10,6,6,8,5,5,8,5,5,100%,100%,100%,4.20%,2.47%,2.69%,0.02%,0.01%,0.01%
"Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2",TMPO,51 kDa,TRUE,13,8,7,0,0,1,7,6,5,0,0,1,4,4,5,0,0,1,100%,100%,100%,17.00%,17.00%,20.90%,0.02%,0.01%,0.01%
Lamin-B2 OS=Homo sapiens OX=9606 GN=LMNB2 PE=1 SV=4,LMNB2,70 kDa,TRUE,20,12,11,16,10,9,15,10,10,12,9,9,11,8,7,9,7,6,100%,100%,100%,20.20%,14.50%,12.40%,0.03%,0.02%,0.02%
Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2,LMNB1,66 kDa,TRUE,10,8,6,6,6,4,7,5,3,4,4,2,6,5,3,4,4,2,100%,100%,100%,14.50%,9.04%,4.95%,0.02%,0.01%,0.01%
LIM and cysteine-rich domains protein 1 OS=Homo sapiens OX=9606 GN=LMCD1 PE=1 SV=1,LMCD1,41 kDa,,4,1,3,3,1,3,4,1,3,3,1,3,4,1,3,3,1,3,100%,99%,100%,11.50%,5.21%,10.40%,0.01%,0.00%,0.00%
LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2,LASP1,30 kDa,,20,14,17,20,14,17,9,7,7,9,7,7,6,5,4,6,5,4,100%,100%,100%,24.10%,20.70%,19.90%,0.03%,0.02%,0.03%
L-lactate dehydrogenase C chain OS=Homo sapiens OX=9606 GN=LDHC PE=1 SV=4,LDHC,36 kDa,TRUE,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18%,0,0,3.61%,0,0,0.00%,0
Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2,KNG1,72 kDa,,14,13,12,14,13,12,9,7,7,9,7,7,6,5,6,6,5,6,100%,100%,100%,12.00%,10.10%,11.80%,0.02%,0.02%,0.02%
Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1,KIF5B,110 kDa,TRUE,3,3,2,2,2,1,3,3,2,2,2,1,3,3,2,2,2,1,100%,100%,100%,3.95%,3.74%,2.49%,0.00%,0.00%,0.00%
Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,KTN1,156 kDa,,5,3,3,5,3,3,5,2,3,5,2,3,4,2,3,4,2,3,100%,100%,100%,3.68%,2.14%,3.02%,0.01%,0.00%,0.00%
"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",KRT2,65 kDa,TRUE,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,65%,0,9%,1.25%,0,1.25%,0.00%,0,0.00%
KN motif and ankyrin repeat domain-containing protein 2 OS=Homo sapiens OX=9606 GN=KANK2 PE=1 SV=1,KANK2,91 kDa,TRUE,7,6,4,6,6,3,7,6,4,6,6,3,6,5,4,5,5,3,100%,100%,100%,9.75%,7.99%,6.58%,0.01%,0.01%,0.01%
"Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens OX=9606 GN=IDH2 PE=1 SV=2",IDH2,51 kDa,,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,100%,69%,88%,5.31%,0.00%,0.00%,0.00%,0.00%,0.00%
Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2,IDH1,47 kDa,,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,100%,100%,100%,8.45%,11.60%,11.60%,0.00%,0.01%,0.01%
Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3,ILF3,95 kDa,TRUE,13,10,10,13,10,10,10,6,6,10,6,6,8,6,5,8,6,5,100%,100%,100%,9.28%,7.49%,6.38%,0.02%,0.02%,0.02%
Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=2,ILF2,43 kDa,,4,5,3,4,5,3,3,4,3,3,4,3,1,3,2,1,3,2,100%,100%,100%,5.13%,12.10%,7.95%,0.01%,0.01%,0.00%
Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4,ITIH4,103 kDa,,3,2,0,3,2,0,3,2,0,3,2,0,2,2,0,2,2,0,100%,100%,43%,4.09%,4.09%,0.00%,0.00%,0.00%,0.00%
Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens OX=9606 GN=ITIH2 PE=1 SV=2,ITIH2,106 kDa,,9,6,5,9,6,5,7,4,4,7,4,4,5,4,3,5,4,3,100%,100%,100%,7.19%,5.81%,4.76%,0.01%,0.01%,0.01%
Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens OX=9606 GN=ITIH1 PE=1 SV=3,ITIH1,101 kDa,,7,3,2,7,3,2,4,2,1,4,2,1,3,2,1,3,2,1,100%,100%,100%,3.95%,2.85%,1.43%,0.01%,0.00%,0.00%
Integrin-linked protein kinase OS=Homo sapiens OX=9606 GN=ILK PE=1 SV=2,ILK,51 kDa,,3,1,1,3,1,1,3,1,1,3,1,1,2,1,1,2,1,1,100%,99%,100%,3.98%,1.77%,1.77%,0.00%,0.00%,0.00%
Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2,ITGB1,88 kDa,,19,12,12,15,9,8,12,7,5,10,5,3,9,7,5,7,5,3,100%,100%,100%,13.40%,12.00%,8.52%,0.03%,0.02%,0.02%
"Inositol 1,4,5-trisphosphate receptor type 1 OS=Homo sapiens OX=9606 GN=ITPR1 PE=1 SV=3",ITPR1,314 kDa,TRUE,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,100%,100%,100%,2.10%,1.05%,0.91%,0.01%,0.00%,0.00%
Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2,PPA1,33 kDa,,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,100%,13%,0,10.70%,0.00%,0,0.00%,0.00%,0
Inactive tyrosine-protein kinase 7 OS=Homo sapiens OX=9606 GN=PTK7 PE=1 SV=2,PTK7,118 kDa,,2,3,3,2,3,3,2,2,3,2,2,3,2,2,2,2,2,2,100%,100%,100%,2.06%,2.06%,2.06%,0.00%,0.00%,0.00%
Inactive carboxypeptidase-like protein X2 OS=Homo sapiens OX=9606 GN=CPXM2 PE=2 SV=3,CPXM2,86 kDa,TRUE,5,0,2,1,0,0,2,0,2,1,0,0,2,0,1,1,0,0,99%,0,16%,3.17%,0,1.19%,0.01%,0,0.00%
Immunoglobulin mu heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2,,63 kDa,TRUE,11,15,12,0,0,0,4,6,4,0,0,0,4,6,4,0,0,0,100%,100%,100%,9.72%,14.20%,9.72%,0.02%,0.02%,0.02%
Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens OX=9606 GN=IGLL5 PE=2 SV=2,IGLL5,23 kDa,TRUE,41,28,30,23,13,16,11,7,8,6,3,4,4,4,4,2,2,2,100%,100%,100%,26.60%,26.60%,26.60%,0.06%,0.04%,0.05%
Immunoglobulin kappa variable 2-30 OS=Homo sapiens OX=9606 GN=IGKV2-30 PE=3 SV=2,IGKV2-30,13 kDa,TRUE,2,1,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,13%,18%,22%,10.80%,10.80%,10.80%,0.00%,0.00%,0.00%
Immunoglobulin kappa light chain OS=Homo sapiens OX=9606 PE=1 SV=1,,23 kDa,TRUE,99,93,79,3,8,8,21,20,16,2,3,2,8,8,8,2,2,2,100%,100%,100%,50.50%,50.50%,50.50%,0.15%,0.14%,0.12%
Immunoglobulin heavy variable 3-66 OS=Homo sapiens OX=9606 GN=IGHV3-66 PE=3 SV=1,IGHV3-66,13 kDa,TRUE,2,0,2,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,42%,6%,53%,9.48%,0.00%,19.00%,0.00%,0.00%,0.00%
Immunoglobulin heavy constant gamma 4 OS=Homo sapiens OX=9606 GN=IGHG4 PE=1 SV=1,IGHG4,36 kDa,TRUE,43,33,45,3,5,8,17,14,15,3,2,3,6,5,6,2,1,2,100%,100%,100%,31.20%,22.90%,31.20%,0.06%,0.05%,0.07%
Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=2,IGHA1,38 kDa,TRUE,30,31,37,26,27,34,12,11,10,9,9,9,7,5,6,5,4,5,100%,100%,100%,26.90%,17.80%,26.30%,0.04%,0.05%,0.06%
Immunoglobulin heavy constant gamma 3 OS=Homo sapiens OX=9606 GN=IGHG3 PE=1 SV=2,IGHG3,41 kDa,TRUE,27,30,31,2,0,0,10,8,8,2,0,0,6,4,4,2,0,0,100%,44%,44%,17.50%,11.70%,11.70%,0.04%,0.05%,0.05%
Immunoglobulin alpha-2 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2,,49 kDa,TRUE,9,5,6,3,1,2,6,3,3,2,1,1,5,2,3,2,1,1,100%,100%,100%,10.30%,5.49%,7.91%,0.01%,0.01%,0.01%
Putative protein FAM10A5 OS=Homo sapiens OX=9606 GN=ST13P5 PE=5 SV=1,ST13P5,41 kDa,TRUE,7,8,7,0,0,0,2,2,4,0,0,0,2,2,2,0,0,0,11%,13%,9%,6.23%,6.23%,6.23%,0.01%,0.01%,0.01%
